id,price_amount,price_unit,segment_id,transfer_type,agent_name,duration_minutes,marketing_flight_number,departure_datetime,arrival_datetime,marketing_carrier_name,operating_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,departure_query,arrival_query
"12907-2305221725--32150,-31435-2-10957-2305240805",712000.0,PRICE_UNIT_MILLI,12907-11182-2305221725-2305222010--32150,TRANSFER_TYPE_MANAGED,BudgetAir,195,901,2023-05-22 17:25:00,2023-05-22 20:10:00,Kam Air,Kam Air,Kabul,KBL,Dubai,DXB,KBL,DEL
"12907-2305221725--32150,-31435-2-10957-2305240805",712000.0,PRICE_UNIT_MILLI,11182-10075-2305231915-2305232355--31435,TRANSFER_TYPE_MANAGED,BudgetAir,190,202,2023-05-23 19:15:00,2023-05-23 23:55:00,Vistara,Vistara,Dubai,DXB,Mumbai,BOM,KBL,DEL
"12907-2305221725--32150,-31435-2-10957-2305240805",712000.0,PRICE_UNIT_MILLI,10075-10957-2305240600-2305240805--31435,TRANSFER_TYPE_MANAGED,BudgetAir,125,954,2023-05-24 06:00:00,2023-05-24 08:05:00,Vistara,Vistara,Mumbai,BOM,Indira Gandhi International ,DEL,KBL,DEL
12907-2305220930--32150-0-12461-2305221130,374500.0,PRICE_UNIT_MILLI,12907-12461-2305220930-2305221130--32150,TRANSFER_TYPE_MANAGED,SmartFares,180,7711,2023-05-22 09:30:00,2023-05-22 11:30:00,Kam Air,Kam Air,Kabul,KBL,Imam Khomeini International,IKA,KBL,IKA
"12907-2305221830--32150,-31734-1-9882-2305240040",811280.0,PRICE_UNIT_MILLI,12907-12585-2305221830-2305222300--32150,TRANSFER_TYPE_MANAGED,Sky-tours,360,9909,2023-05-22 18:30:00,2023-05-22 23:00:00,Kam Air,Kam Air,Kabul,KBL,Istanbul,IST,KBL,BGW
"12907-2305221830--32150,-31734-1-9882-2305240040",811280.0,PRICE_UNIT_MILLI,12585-9882-2305232145-2305240040--31734,TRANSFER_TYPE_MANAGED,Sky-tours,175,302,2023-05-23 21:45:00,2023-05-24 00:40:00,Turkish Airlines,Turkish Airlines,Istanbul,IST,Baghdad International,BGW,KBL,BGW
"12907-2305221830--32150,-31734-1-9882-2305240200",759890.0,PRICE_UNIT_MILLI,12907-12585-2305221830-2305222300--32150,TRANSFER_TYPE_MANAGED,Sky-tours,360,9909,2023-05-22 18:30:00,2023-05-22 23:00:00,Kam Air,Kam Air,Kabul,KBL,Istanbul,IST,KBL,BGW
"12907-2305221830--32150,-31734-1-9882-2305240200",759890.0,PRICE_UNIT_MILLI,16096-9882-2305232315-2305240200--31734,TRANSFER_TYPE_MANAGED,Sky-tours,165,7692,2023-05-23 23:15:00,2023-05-24 02:00:00,Turkish Airlines,AnadoluJet,Istanbul Sabiha,SAW,Baghdad International,BGW,KBL,BGW
"12907-2305221830--32150,-31923-2-9882-2305231940",883280.0,PRICE_UNIT_MILLI,12907-12585-2305221830-2305222300--32150,TRANSFER_TYPE_MANAGED,Sky-tours,360,9909,2023-05-22 18:30:00,2023-05-22 23:00:00,Kam Air,Kam Air,Kabul,KBL,Istanbul,IST,KBL,BGW
"12907-2305221830--32150,-31923-2-9882-2305231940",883280.0,PRICE_UNIT_MILLI,12585-9445-2305231345-2305231600--31923,TRANSFER_TYPE_MANAGED,Sky-tours,135,166,2023-05-23 13:45:00,2023-05-23 16:00:00,Royal Jordanian,Royal Jordanian,Istanbul,IST,Amman Queen Alia,AMM,KBL,BGW
"12907-2305221830--32150,-31923-2-9882-2305231940",883280.0,PRICE_UNIT_MILLI,9445-9882-2305231800-2305231940--31923,TRANSFER_TYPE_MANAGED,Sky-tours,100,814,2023-05-23 18:00:00,2023-05-23 19:40:00,Royal Jordanian,Royal Jordanian,Amman Queen Alia,AMM,Baghdad International,BGW,KBL,BGW
"12907-2305221830--32150,-31939-2-9882-2305232100",997240.0,PRICE_UNIT_MILLI,12907-12585-2305221830-2305222300--32150,TRANSFER_TYPE_MANAGED,Sky-tours,360,9909,2023-05-22 18:30:00,2023-05-22 23:00:00,Kam Air,Kam Air,Kabul,KBL,Istanbul,IST,KBL,BGW
"12907-2305221830--32150,-31939-2-9882-2305232100",997240.0,PRICE_UNIT_MILLI,12585-11089-2305231345-2305231755--31939,TRANSFER_TYPE_MANAGED,Sky-tours,250,240,2023-05-23 13:45:00,2023-05-23 17:55:00,Qatar Airways,Qatar Airways,Istanbul,IST,Hamad International,DOH,KBL,BGW
"12907-2305221830--32150,-31939-2-9882-2305232100",997240.0,PRICE_UNIT_MILLI,11089-9882-2305231855-2305232100--31939,TRANSFER_TYPE_MANAGED,Sky-tours,125,442,2023-05-23 18:55:00,2023-05-23 21:00:00,Qatar Airways,Qatar Airways,Hamad International,DOH,Baghdad International,BGW,KBL,BGW
"12907-2305221830--32150,-31939-2-9882-2305240305",973020.0,PRICE_UNIT_MILLI,12907-12585-2305221830-2305222300--32150,TRANSFER_TYPE_MANAGED,Sky-tours,360,9909,2023-05-22 18:30:00,2023-05-22 23:00:00,Kam Air,Kam Air,Kabul,KBL,Istanbul,IST,KBL,BGW
"12907-2305221830--32150,-31939-2-9882-2305240305",973020.0,PRICE_UNIT_MILLI,16096-11089-2305232005-2305240015--31939,TRANSFER_TYPE_MANAGED,Sky-tours,250,244,2023-05-23 20:05:00,2023-05-24 00:15:00,Qatar Airways,Qatar Airways,Istanbul Sabiha,SAW,Hamad International,DOH,KBL,BGW
"12907-2305221830--32150,-31939-2-9882-2305240305",973020.0,PRICE_UNIT_MILLI,11089-9882-2305240100-2305240305--31939,TRANSFER_TYPE_MANAGED,Sky-tours,125,458,2023-05-24 01:00:00,2023-05-24 03:05:00,Qatar Airways,Qatar Airways,Hamad International,DOH,Baghdad International,BGW,KBL,BGW
"12907-2305221830--32150,-31973-1-9882-2305240220",795200.0,PRICE_UNIT_MILLI,12907-12585-2305221830-2305222300--32150,TRANSFER_TYPE_MANAGED,Sky-tours,360,9909,2023-05-22 18:30:00,2023-05-22 23:00:00,Kam Air,Kam Air,Kabul,KBL,Istanbul,IST,KBL,BGW
"12907-2305221830--32150,-31973-1-9882-2305240220",795200.0,PRICE_UNIT_MILLI,16096-9882-2305232330-2305240220--31973,TRANSFER_TYPE_MANAGED,Sky-tours,170,656,2023-05-23 23:30:00,2023-05-24 02:20:00,Pegasus Airlines,Pegasus Airlines,Istanbul Sabiha,SAW,Baghdad International,BGW,KBL,BGW
"12907-2305221830--32150,-32062-2-9882-2305241340",1021720.0,PRICE_UNIT_MILLI,12907-12585-2305221830-2305222300--32150,TRANSFER_TYPE_MANAGED,Sky-tours,360,9909,2023-05-22 18:30:00,2023-05-22 23:00:00,Kam Air,Kam Air,Kabul,KBL,Istanbul,IST,KBL,BGW
"12907-2305221830--32150,-32062-2-9882-2305241340",1021720.0,PRICE_UNIT_MILLI,12585-9834-2305232030-2305232225--32062,TRANSFER_TYPE_MANAGED,Sky-tours,115,268,2023-05-23 20:30:00,2023-05-23 22:25:00,MEA,MEA,Istanbul,IST,Beirut,BEY,KBL,BGW
"12907-2305221830--32150,-32062-2-9882-2305241340",1021720.0,PRICE_UNIT_MILLI,9834-9882-2305241210-2305241340--32062,TRANSFER_TYPE_MANAGED,Sky-tours,90,322,2023-05-24 12:10:00,2023-05-24 13:40:00,MEA,MEA,Beirut,BEY,Baghdad International,BGW,KBL,BGW
"12907-2305221830--32150,-32353-2-9882-2305240320",1041210.0,PRICE_UNIT_MILLI,12907-12585-2305221830-2305222300--32150,TRANSFER_TYPE_MANAGED,Sky-tours,360,9909,2023-05-22 18:30:00,2023-05-22 23:00:00,Kam Air,Kam Air,Kabul,KBL,Istanbul,IST,KBL,BGW
"12907-2305221830--32150,-32353-2-9882-2305240320",1041210.0,PRICE_UNIT_MILLI,12585-10337-2305231835-2305232050--32353,TRANSFER_TYPE_MANAGED,Sky-tours,195,736,2023-05-23 18:35:00,2023-05-23 20:50:00,EgyptAir,EgyptAir,Istanbul,IST,Cairo,CAI,KBL,BGW
"12907-2305221830--32150,-32353-2-9882-2305240320",1041210.0,PRICE_UNIT_MILLI,10337-9882-2305240110-2305240320--32353,TRANSFER_TYPE_MANAGED,Sky-tours,70,627,2023-05-24 01:10:00,2023-05-24 03:20:00,EgyptAir,EgyptAir,Cairo,CAI,Baghdad International,BGW,KBL,BGW
