id,price_amount,marketing_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,departure_datetime,arrival_datetime,departure_query,arrival_query,segment_count,total_flight_duration,flight_score
9445-2305221250--32348-1-9561-2305230325,368.17,Emirates > Emirates,Amman Queen Alia > Dubai,AMM > DXB,Dubai > Ashgabat,DXB > ASB,2023-05-22 12:50:00,2023-05-23 03:25:00,AMM,ASB,2,330,578.17
9445-2305220835--32761-0-9618-2305221240,82.34,Wizz Air Abu Dhabi,Amman Queen Alia,AMM,Abu Dhabi International,AUH,2023-05-22 08:35:00,2023-05-22 12:40:00,AMM,AUH,1,185,194.01
"9445-2305221730--30759,-31669-1-9715-2305230640",207.99,Air Arabia Abu Dhabi > Wizz Air,Amman Queen Alia > Abu Dhabi International,AMM > AUH,Abu Dhabi International > Bahrain,AUH > BAH,2023-05-22 17:30:00,2023-05-23 06:40:00,AMM,BAH,2,250,391.32
9445-2305221000--32062-0-9834-2305221100,188.9,MEA,Amman Queen Alia,AMM,Beirut,BEY,2023-05-22 10:00:00,2023-05-22 11:00:00,AMM,BEY,1,60,258.9
9445-2305220515--31923-0-9882-2305220700,214.9,Royal Jordanian,Amman Queen Alia,AMM,Baghdad International,BGW,2023-05-22 05:15:00,2023-05-22 07:00:00,AMM,BGW,1,105,299.9
"9445-2305220835--31669,-32213-2-9970-2305231610",266.99,Wizz Air > IndiGo > IndiGo,Amman Queen Alia > Abu Dhabi International > Indira Gandhi International ,AMM > AUH > DEL,Abu Dhabi International > Indira Gandhi International  > Bangkok Suvarnabhumi,AUH > DEL > BKK,2023-05-22 08:35:00,2023-05-23 16:10:00,AMM,BKK,3,655,635.32
"9445-2305220835--31669,-32339,-32709,-32611-3-10258-2305231545",370.99,Wizz Air > Etihad Airways > AirAsia X > AirAsia,Amman Queen Alia > Abu Dhabi International > Indira Gandhi International  > Kuala Lumpur International,AMM > AUH > DEL > KUL,Abu Dhabi International > Indira Gandhi International  > Kuala Lumpur International > Bandar Seri Begawan,AUH > DEL > KUL > BWN,2023-05-22 08:35:00,2023-05-23 15:45:00,AMM,BWN,4,895,869.32
9445-2305220225--31939-1-10485-2305222130,339.9,Qatar Airways > Qatar Airways,Amman Queen Alia > Hamad International,AMM > DOH,Hamad International > Soekarno-Hatta,DOH > CGK,2023-05-22 02:25:00,2023-05-22 21:30:00,AMM,CGK,2,700,673.23
9445-2305221620--32714-1-10610-2305230420,267.22,Air Arabia > Air Arabia,Amman Queen Alia > Sharjah,AMM > SHJ,Sharjah > Colombo Bandaranayake,SHJ > CMB,2023-05-22 16:20:00,2023-05-23 04:20:00,AMM,CMB,2,450,517.22
9445-2305220225--32003-1-10901-2305221505,259.2,Oman Air > Oman Air,Amman Queen Alia > Muscat,AMM > MCT,Muscat > Hazrat Shahjalal International Airport ,MCT > DAC,2023-05-22 02:25:00,2023-05-22 15:05:00,AMM,DAC,2,495,524.2
"9445-2305220835--31669,-32213-1-10957-2305230525",167.99,Wizz Air > IndiGo,Amman Queen Alia > Abu Dhabi International,AMM > AUH,Abu Dhabi International > Indira Gandhi International ,AUH > DEL,2023-05-22 08:35:00,2023-05-23 05:25:00,AMM,DEL,2,395,399.66
