country,capital_city,capital_latitude,capital_longitude
Afghanistan,Kabul,34.5167,69.1833
Armenia,Yerevan,40.1812,44.5136
Azerbaijan,Baku,40.3953,49.8622
Bahrain,Manama,26.2361,50.5831
Bangladesh,Dhaka,23.7231,90.4086
Bhutan,Thimphu,27.473,89.639
Brunei,Bandar Seri Begawan,4.8833,114.9333
Cambodia,Phnom Penh,11.55,104.9166
China,Beijing,39.9289,116.3883
Cyprus,Nicosia,35.1667,33.3666
East Timor,Dili,-8.5594,125.5795
Georgia,Tbilisi,41.725,44.7908
India,New Delhi,28.6,77.2
Indonesia,Jakarta,-6.1744,106.8294
Iran,Tehran,35.6719,51.4243
Iraq,Baghdad,33.3386,44.3939
Israel,Jerusalem,31.7784,35.2066
Japan,Tokyo,35.685,139.7514
Jordan,Amman,31.95,35.9333
Kazakhstan,Nursultan,51.1811,71.4278
Kuwait,Kuwait City,29.3697,47.9783
Kyrgyzstan,Bishkek,42.8731,74.5852
Laos,Vientiane,17.9667,102.6
Lebanon,Beirut,33.872,35.5097
Malaysia,Kuala Lumpur,3.1667,101.7
Maldives,Male,4.1667,73.4999
Mongolia,Ulaanbaatar,47.9167,106.9166
Myanmar,Nay Pyi Taw,19.7666,96.1186
Nepal,Kathmandu,27.7167,85.3166
North Korea,Pyongyang,39.0194,125.7547
Oman,Muscat,23.6133,58.5933
Pakistan,Islamabad,33.7,73.1666
Philippines,Manila,14.6042,120.9822
Qatar,Doha,25.2866,51.533
Saudi Arabia,Riyadh,24.6408,46.7727
Singapore,Singapore,1.293,103.8558
South Korea,Seoul,37.5663,126.9997
Sri Lanka,Colombo,6.932,79.8578
Syria,Damascus,33.5,36.3
Taiwan,Taipei,25.0358,121.5683
Tajikistan,Dushanbe,38.56,68.7739
Thailand,Bangkok,13.75,100.5166
Turkey,Ankara,39.9272,32.8644
Turkmenistan,Ashgabat,37.95,58.3833
United Arab Emirates,Abu Dhabi,24.4667,54.3666
Uzbekistan,Tashkent,41.3117,69.2949
Vietnam,Hanoi,21.0333,105.85
Yemen,Sanaa,15.3547,44.2066
