id,price_amount,marketing_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,departure_datetime,arrival_datetime,departure_query,arrival_query,segment_count,total_flight_duration
"10258-2305220035--31924,-31939-2-11389-2305231220",1289.18,Royal Brunei  > Qatar Airways > Qatar Airways,Bandar Seri Begawan > Tokyo Narita > Hamad International,BWN > NRT > DOH,Tokyo Narita > Hamad International > Ankara Esenboga,NRT > DOH > ESB,2023-05-22 00:35:00,2023-05-23 12:20:00,BWN,ESB,3,1285
10258-2305220035--31924-0-14788-2305220730,459.44,Royal Brunei ,Bandar Seri Begawan,BWN,Tokyo Narita,NRT,2023-05-22 00:35:00,2023-05-22 07:30:00,BWN,NRT,1,355
"10258-2305220850--31924,-31734-2-25715-2305240220",1195.4,Royal Brunei  > Turkish Airlines > Turkish Airlines,Bandar Seri Begawan > Kuala Lumpur International > Istanbul,BWN > KUL > IST,Kuala Lumpur International > Istanbul > Astana Nursultan Nazarbayev,KUL > IST > NQZ,2023-05-22 08:50:00,2023-05-24 02:20:00,BWN,NQZ,3,1085
"10258-2305220850--31924,-31734-2-9561-2305240210",1160.9,Royal Brunei  > Turkish Airlines > Turkish Airlines,Bandar Seri Begawan > Kuala Lumpur International > Istanbul,BWN > KUL > IST,Kuala Lumpur International > Istanbul > Ashgabat,KUL > IST > ASB,2023-05-22 08:50:00,2023-05-24 02:10:00,BWN,ASB,3,1010
"10258-2305220850--31924,-31821-1-10610-2305221620",353.1,Royal Brunei  > SriLankan Airlines,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Colombo Bandaranayake,KUL > CMB,2023-05-22 08:50:00,2023-05-22 16:20:00,BWN,CMB,2,365
"10258-2305220850--31924,-31821-2-11089-2305222115",564.0,Royal Brunei  > SriLankan Airlines > SriLankan Airlines,Bandar Seri Begawan > Kuala Lumpur International > Colombo Bandaranayake,BWN > KUL > CMB,Kuala Lumpur International > Colombo Bandaranayake > Hamad International,KUL > CMB > DOH,2023-05-22 08:50:00,2023-05-22 21:15:00,BWN,DOH,3,670
"10258-2305220850--31924,-31896,-31669-2-13445-2305230150",817.9,Royal Brunei  > Saudia > Wizz Air,Bandar Seri Begawan > Kuala Lumpur International > Riyadh,BWN > KUL > RUH,Kuala Lumpur International > Riyadh > Larnaca,KUL > RUH > LCA,2023-05-22 08:50:00,2023-05-23 01:50:00,BWN,LCA,3,835
"10258-2305220850--31924,-31896,-32036-2-9445-2305222120",845.0,Royal Brunei  > Saudia > Flynas,Bandar Seri Begawan > Kuala Lumpur International > Riyadh,BWN > KUL > RUH,Kuala Lumpur International > Riyadh > Amman Queen Alia,KUL > RUH > AMM,2023-05-22 08:50:00,2023-05-22 21:20:00,BWN,AMM,3,760
"10258-2305220850--31924,-31896-1-16029-2305221620",696.99,Royal Brunei  > Saudia,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Riyadh,KUL > RUH,2023-05-22 08:50:00,2023-05-22 16:20:00,BWN,RUH,2,620
"10258-2305220850--31924,-31896-2-9445-2305222110",991.4,Royal Brunei  > Saudia > Saudia,Bandar Seri Begawan > Kuala Lumpur International > Riyadh,BWN > KUL > RUH,Kuala Lumpur International > Riyadh > Amman Queen Alia,KUL > RUH > AMM,2023-05-22 08:50:00,2023-05-22 21:10:00,BWN,AMM,3,760
"10258-2305220850--31924,-31939-2-10610-2305230900",880.2,Royal Brunei  > Qatar Airways > Qatar Airways,Bandar Seri Begawan > Kuala Lumpur International > Hamad International,BWN > KUL > DOH,Kuala Lumpur International > Hamad International > Colombo Bandaranayake,KUL > DOH > CMB,2023-05-22 08:50:00,2023-05-23 09:00:00,BWN,CMB,3,910
"10258-2305220850--31924,-31939-2-12569-2305230750",896.2,Royal Brunei  > Qatar Airways > Qatar Airways,Bandar Seri Begawan > Kuala Lumpur International > Hamad International,BWN > KUL > DOH,Kuala Lumpur International > Hamad International > Islamabad,KUL > DOH > ISB,2023-05-22 08:50:00,2023-05-23 07:50:00,BWN,ISB,3,805
"10258-2305220850--31924,-31939-2-9618-2305230425",775.6,Royal Brunei  > Qatar Airways > Qatar Airways,Bandar Seri Begawan > Kuala Lumpur International > Hamad International,BWN > KUL > DOH,Kuala Lumpur International > Hamad International > Abu Dhabi International,KUL > DOH > AUH,2023-05-22 08:50:00,2023-05-23 04:25:00,BWN,AUH,3,670
"10258-2305220850--31924,-31939-2-9834-2305231135",970.6,Royal Brunei  > Qatar Airways > Qatar Airways,Bandar Seri Begawan > Kuala Lumpur International > Hamad International,BWN > KUL > DOH,Kuala Lumpur International > Hamad International > Beirut,KUL > DOH > BEY,2023-05-22 08:50:00,2023-05-23 11:35:00,BWN,BEY,3,830
"10258-2305220850--31924,-31963-1-12569-2305221630",555.9,Royal Brunei  > PIA,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Islamabad,KUL > ISB,2023-05-22 08:50:00,2023-05-22 16:30:00,BWN,ISB,2,510
"10258-2305220850--31924,-32076-1-13288-2305221605",305.4,Royal Brunei  > Malindo Air,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Kathmandu,KUL > KTM,2023-05-22 08:50:00,2023-05-22 16:05:00,BWN,KTM,2,435
"10258-2305220850--31924,-32348-2-11191-2305240255",732.1,Royal Brunei  > Emirates > Emirates,Bandar Seri Begawan > Kuala Lumpur International > Dubai,BWN > KUL > DXB,Kuala Lumpur International > Dubai > Dushanbe,KUL > DXB > DYU,2023-05-22 08:50:00,2023-05-24 02:55:00,BWN,DYU,3,775
"10258-2305220850--31924,-32348-2-11431-2305231115",826.1,Royal Brunei  > Emirates > Emirates,Bandar Seri Begawan > Kuala Lumpur International > Dubai,BWN > KUL > DXB,Kuala Lumpur International > Dubai > Yerevan,KUL > DXB > EVN,2023-05-22 08:50:00,2023-05-23 11:15:00,BWN,EVN,3,770
"10258-2305220850--31924,-32348-2-12461-2305231640",813.61,Royal Brunei  > Emirates > Emirates,Bandar Seri Begawan > Kuala Lumpur International > Dubai,BWN > KUL > DXB,Kuala Lumpur International > Dubai > Imam Khomeini International,KUL > DXB > IKA,2023-05-22 08:50:00,2023-05-23 16:40:00,BWN,IKA,3,705
"10258-2305220850--31924,-32348-2-16759-2305240240",751.1,Royal Brunei  > Emirates,Bandar Seri Begawan > Dubai,BWN > DXB,Kuala Lumpur International > Tashkent,KUL > TAS,2023-05-22 08:50:00,2023-05-24 02:40:00,BWN,TAS,2,360
"10258-2305220850--31924,-32348-2-9445-2305231600",883.6,Royal Brunei  > Emirates > Emirates,Bandar Seri Begawan > Kuala Lumpur International > Dubai,BWN > KUL > DXB,Kuala Lumpur International > Dubai > Amman Queen Alia,KUL > DXB > AMM,2023-05-22 08:50:00,2023-05-23 16:00:00,BWN,AMM,3,750
"10258-2305220850--31924,-32456-2-10957-2305222355",686.3,Royal Brunei  > Cathay Pacific > Cathay Pacific,Bandar Seri Begawan > Kuala Lumpur International > Hong Kong Intl,BWN > KUL > HKG,Kuala Lumpur International > Hong Kong Intl > Indira Gandhi International ,KUL > HKG > DEL,2023-05-22 08:50:00,2023-05-22 23:55:00,BWN,DEL,3,755
"10258-2305220850--31924,-32456-2-17075-2305222015",523.9,Royal Brunei  > Cathay Pacific > Cathay Pacific,Bandar Seri Begawan > Kuala Lumpur International > Hong Kong Intl,BWN > KUL > HKG,Kuala Lumpur International > Hong Kong Intl > Taipei Taiwan Taoyuan,KUL > HKG > TPE,2023-05-22 08:50:00,2023-05-22 20:15:00,BWN,TPE,3,520
"10258-2305220850--31924,-32611-1-14155-2305222020",300.7,Royal Brunei  > AirAsia,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Velana International,KUL > MLE,2023-05-22 08:50:00,2023-05-22 20:20:00,BWN,MLE,2,415
"10258-2305220850--31924,-32611-1-14213-2305222210",287.8,Royal Brunei  > AirAsia,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Manila Ninoy Aquino,KUL > MNL,2023-05-22 08:50:00,2023-05-22 22:10:00,BWN,MNL,2,400
10258-2305220850--31924-0-13311-2305221120,173.32,Royal Brunei ,Bandar Seri Begawan,BWN,Kuala Lumpur International,KUL,2023-05-22 08:50:00,2023-05-22 11:20:00,BWN,KUL,1,150
"10258-2305220850--32080,-31703-2-12071-2305221815",628.0,Malaysia Airlines > Vietnam Airlines > Vietnam Airlines,Bandar Seri Begawan > Kuala Lumpur International > Ho Chi Minh City,BWN > KUL > SGN,Kuala Lumpur International > Ho Chi Minh City > Hanoi,KUL > SGN > HAN,2023-05-22 08:50:00,2023-05-22 18:15:00,BWN,HAN,3,435
"10258-2305220850--32080,-31703-2-15458-2305221655",688.0,Malaysia Airlines > Vietnam Airlines > Vietnam Airlines,Bandar Seri Begawan > Kuala Lumpur International > Ho Chi Minh City,BWN > KUL > SGN,Kuala Lumpur International > Ho Chi Minh City > Phnom Penh,KUL > SGN > PNH,2023-05-22 08:50:00,2023-05-22 16:55:00,BWN,PNH,3,355
"10258-2305220850--32080,-31703-3-17606-2305221920",934.93,Malaysia Airlines > Vietnam Airlines > Vietnam Airlines > Vietnam Airlines,Bandar Seri Begawan > Kuala Lumpur International > Ho Chi Minh City > Phnom Penh,BWN > KUL > SGN > PNH,Kuala Lumpur International > Ho Chi Minh City > Phnom Penh > Vientiane,KUL > SGN > PNH > VTE,2023-05-22 08:50:00,2023-05-22 19:20:00,BWN,VTE,4,450
"10258-2305220850--32080,-31714-2-16759-2305230905",1514.29,Malaysia Airlines > Malaysia Airlines > Uzbekistan Airways,Bandar Seri Begawan > Kuala Lumpur International > Indira Gandhi International ,BWN > KUL > DEL,Kuala Lumpur International > Indira Gandhi International  > Tashkent,KUL > DEL > TAS,2023-05-22 08:50:00,2023-05-23 09:05:00,BWN,TAS,3,660
"10258-2305220850--32080,-31939-2-11389-2305231220",1263.19,Malaysia Airlines > Malaysia Airlines > Qatar Airways,Bandar Seri Begawan > Kuala Lumpur International > Hamad International,BWN > KUL > DOH,Kuala Lumpur International > Hamad International > Ankara Esenboga,KUL > DOH > ESB,2023-05-22 08:50:00,2023-05-23 12:20:00,BWN,ESB,3,825
"10258-2305220850--32080,-31939-2-12569-2305230750",1147.04,Malaysia Airlines > Malaysia Airlines > Qatar Airways,Bandar Seri Begawan > Kuala Lumpur International > Hamad International,BWN > KUL > DOH,Kuala Lumpur International > Hamad International > Islamabad,KUL > DOH > ISB,2023-05-22 08:50:00,2023-05-23 07:50:00,BWN,ISB,3,805
"10258-2305220850--32080,-31939-2-13445-2305231205",1253.49,Malaysia Airlines > Malaysia Airlines > Qatar Airways,Bandar Seri Begawan > Kuala Lumpur International > Hamad International,BWN > KUL > DOH,Kuala Lumpur International > Hamad International > Larnaca,KUL > DOH > LCA,2023-05-22 08:50:00,2023-05-23 12:05:00,BWN,LCA,3,840
"10258-2305220850--32080,-31939-2-16785-2305240010",1288.47,Malaysia Airlines > Qatar Airways,Bandar Seri Begawan > Hamad International,BWN > DOH,Kuala Lumpur International > Tbilisi,KUL > TBS,2023-05-22 08:50:00,2023-05-24 00:10:00,BWN,TBS,2,340
"10258-2305220850--32080,-31939-2-9882-2305230305",1804.48,Malaysia Airlines > Malaysia Airlines > Qatar Airways,Bandar Seri Begawan > Kuala Lumpur International > Hamad International,BWN > KUL > DOH,Kuala Lumpur International > Hamad International > Baghdad International,KUL > DOH > BGW,2023-05-22 08:50:00,2023-05-23 03:05:00,BWN,BGW,3,725
"10258-2305220850--32080,-32166-2-14213-2305222100",872.7,Malaysia Airlines > Malaysia Airlines > Jetstar,Bandar Seri Begawan > Kuala Lumpur International > Singapore Changi,BWN > KUL > SIN,Kuala Lumpur International > Singapore Changi > Manila Ninoy Aquino,KUL > SIN > MNL,2023-05-22 08:50:00,2023-05-22 21:00:00,BWN,MNL,3,450
"10258-2305220850--32080,-32331-1-17075-2305222025",787.0,Malaysia Airlines > EVA Air,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Taipei Taiwan Taoyuan,KUL > TPE,2023-05-22 08:50:00,2023-05-22 20:25:00,BWN,TPE,2,445
"10258-2305220850--32080,-32339-1-9618-2305222200",1601.99,Malaysia Airlines > Etihad Airways,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Abu Dhabi International,KUL > AUH,2023-05-22 08:50:00,2023-05-22 22:00:00,BWN,AUH,2,555
"10258-2305220850--32080,-32439-3-11636-2305230810",2742.1,Malaysia Airlines > China Southern > China Southern > China Southern,Bandar Seri Begawan > Kuala Lumpur International > Guangzhou > Urumqi,BWN > KUL > CAN > URC,Kuala Lumpur International > Guangzhou > Urumqi > Bishkek,KUL > CAN > URC > FRU,2023-05-22 08:50:00,2023-05-23 08:10:00,BWN,FRU,4,860
"10258-2305220850--32080,-32442-2-15277-2305230915",756.0,Malaysia Airlines > China Eastern > China Eastern,Bandar Seri Begawan > Kuala Lumpur International > Shanghai Hongqiao,BWN > KUL > SHA,Kuala Lumpur International > Shanghai PuDong > Beijing Capital,KUL > PVG > PEK,2023-05-22 08:50:00,2023-05-23 09:15:00,BWN,PEK,3,600
"10258-2305220850--32080,-32504-1-10901-2305230425",1155.54,Malaysia Airlines > Biman Bangladesh Airlines,Bandar Seri Begawan > Kuala Lumpur International,BWN > KUL,Kuala Lumpur International > Hazrat Shahjalal International Airport ,KUL > DAC,2023-05-22 08:50:00,2023-05-23 04:25:00,BWN,DAC,2,385
