country,capital_city,capital_latitude,capital_longitude,airport_iata,airport_name,airport_latitude,airport_longitude
Armenia,Yerevan,40.1812,44.5136,EVN,Zvartnots International Airport ,40.14730072,44.39590073
Azerbaijan,Baku,40.3953,49.8622,GYD,Heydar Aliyev International Airport,40.46749878,50.04669952
Bahrain,Manama,26.2361,50.5831,BAH,Bahrain International Airport,26.27079964,50.63359833
Bangladesh,Dhaka,23.7231,90.4086,DAC,Hazrat Shahjalal International Airport,23.843347,90.397783
Brunei,Bandar Seri Begawan,4.8833,114.9333,BWN,Brunei International Airport,4.944200039,114.9280014
Cambodia,Phnom Penh,11.55,104.9166,PNH,Phnom Penh International Airport,11.54660034,104.8440018
China,Beijing,39.9289,116.3883,PEK,Beijing Capital International Airport,40.08010101,116.5849991
Cyprus,Nicosia,35.1667,33.3666,LCA,Larnaca International Airport,34.87509918,33.62490082
East Timor,Dili,-8.5594,125.5795,DIL,Presidente Nicolau Lobato International Airport,-8.54640007,125.526001
Georgia,Tbilisi,41.725,44.7908,TBS,Tbilisi International Airport,41.6692009,44.95470047
India,New Delhi,28.6,77.2,DEL,Indira Gandhi International Airport,28.5665,77.103104
Indonesia,Jakarta,-6.1744,106.8294,CGK,Soekarno–Hatta International Airport,-6.12556982,106.6559982
Iran,Tehran,35.6719,51.4243,IKA,Imam Khomeini International Airport,35.41609955,51.15219879
Iraq,Baghdad,33.3386,44.3939,BGW,Baghdad International Airport,33.26250076,44.23460007
Israel,Jerusalem,31.7784,35.2066,TLV,Ben Gurion International Airport,32.01139832,34.88669968
Japan,Tokyo,35.685,139.7514,NRT,Narita International Airport,35.764702,140.386002
Jordan,Amman,31.95,35.9333,AMM,Queen Alia International Airport,31.72260094,35.99319839
Kazakhstan,Nursultan,51.1811,71.4278,NQZ,Nursultan Nazarbayev International Airport,51.02727053,71.46075373
Kuwait,Kuwait City,29.3697,47.9783,KWI,Kuwait International Airport,29.22660065,47.96889877
Kyrgyzstan,Bishkek,42.8731,74.5852,FRU,Manas International Airport,43.06129837,74.4776001
Laos,Vientiane,17.9667,102.6,VTE,Wattay International Airport,17.98830032,102.5630035
Lebanon,Beirut,33.872,35.5097,BEY,Beirut–Rafic Hariri International Airport,33.82089996,35.48839951
Malaysia,Kuala Lumpur,3.1667,101.7,KUL,Kuala Lumpur International Airport,2.745579958,101.7099991
Maldives,Male,4.1667,73.4999,MLE,Velana International Airport,4.191830158,73.52909851
Mongolia,Ulaanbaatar,47.9167,106.9166,UBN,Chinggis Khaan International Airport,47.646916,106.819833
Nepal,Kathmandu,27.7167,85.3166,KTM,Tribhuvan International Airport,27.6966,85.3591
Oman,Muscat,23.6133,58.5933,MCT,Muscat International Airport,23.59329987,58.28440094
Pakistan,Islamabad,33.7,73.1666,ISB,Islamabad International Airport,33.549,72.82566
Philippines,Manila,14.6042,120.9822,MNL,Ninoy Aquino International Airport,14.5086,121.019997
Qatar,Doha,25.2866,51.533,DOH,Hamad International Airport,25.273056,51.608056
Saudi Arabia,Riyadh,24.6408,46.7727,RUH,King Khalid International Airport,24.95759964,46.69879913
Singapore,Singapore,1.293,103.8558,SIN,Changi Airport,1.35019,103.994003
South Korea,Seoul,37.5663,126.9997,ICN,Incheon International Airport,37.46910095,126.4509964
Sri Lanka,Colombo,6.932,79.8578,CMB,Bandaranaike International Airport,7.180759907,79.88410187
Taiwan,Taipei,25.0358,121.5683,TPE,Taoyuan International Airport,25.0777,121.233002
Tajikistan,Dushanbe,38.56,68.7739,DYU,Dushanbe International Airport,38.54330063,68.82499695
Thailand,Bangkok,13.75,100.5166,BKK,Suvarnabhumi Airport,13.68109989,100.7470016
Turkey,Ankara,39.9272,32.8644,ESB,Ankara Esenboga Airport,40.12810135,32.99509811
Turkmenistan,Ashgabat,37.95,58.3833,ASB,Ashgabat International Airport,37.986801,58.361
United Arab Emirates,Abu Dhabi,24.4667,54.3666,AUH,Abu Dhabi International Airport,24.43300056,54.65110016
Uzbekistan,Tashkent,41.3117,69.2949,TAS,Islam Karimov Tashkent International Airport,41.25790024,69.28119659
Vietnam,Hanoi,21.0333,105.85,HAN,Noi Bai International Airport,21.22120094,105.8069992
